submit_date,state,total_cases,new_cases,total_deaths,new_deaths,sum_cases_last_14_days,state_pop,new_cases_percent,cases_last_14_pop_percent
2022-04-20,DC,140845,171,1333,0,3242,692683,0.00024686617110568614,0.004680351618272716
2022-04-20,DE,260735,169,2896,0,2068,957248,0.00017654777027478774,0.002160359697800361
2022-04-20,FL,5895555,3796,73822,2,35007,20901636,0.00018161257807762033,0.0016748449738575488
2022-04-20,GA,2509160,2526,37659,136,6968,10403847,0.00024279480465254824,0.0006697522560645115
2022-04-20,HI,238763,1666,1395,17,2966,1422094,0.0011715118691169501,0.002085656784994522
2022-04-20,IA,761487,131,9510,35,2012,3139508,4.1726283226543774e-05,0.0006408647469603517
2022-04-20,ID,445350,183,4918,4,827,1717750,0.0001065347111046427,0.00048144374909037986
2022-04-20,IL,3106642,3931,37840,10,30014,12770631,0.0003078156435653023,0.002350236256924188
2022-04-20,IN,1695736,781,23535,12,3488,6665703,0.00011716693648066828,0.0005232756394936888
2022-04-20,KS,772222,0,8524,0,1947,2910652,0.0,0.0006689222895763561
2022-04-20,KY,1324103,577,15341,15,5045,4449052,0.00012969054980701506,0.0011339494346211283
2022-04-20,LA,1171262,240,17213,6,2138,4664362,5.145398234528109e-05,0.0004583692260592124
2022-04-20,MA,1733156,1986,20208,27,26996,6850553,0.00028990360340252824,0.003940703765082906
2022-04-20,MD,1023905,1044,14418,6,9191,6018848,0.0001734551196508036,0.0015270364029794407
2022-04-20,ME,241248,439,2278,1,4031,1335492,0.00032871780587229274,0.003018363269866087
2022-04-20,MI,2411464,10474,35935,78,18199,9965265,0.0010510508250407792,0.0018262434566466623
2022-04-20,MN,1441279,976,12739,17,9277,5563378,0.00017543298334213493,0.001667512076296092
2022-04-20,MO,1417911,0,20241,0,6189,6104910,0.0,0.0010137741588328083
2022-04-20,MS,796645,99,12432,3,1237,2984418,3.3172296910151325e-05,0.00041448617452381
2022-04-20,MT,273371,84,3262,1,575,1050649,7.995058292541087e-05,0.0005472807759775148
2022-04-20,NC,2647650,73,23363,-1,11523,10264876,7.1116299894903745e-06,0.0011225659228616108
2022-04-20,ND,240595,66,2257,0,575,756717,8.721886781980582e-05,0.0007598613484301265
2022-04-20,NE,478812,1,4195,0,836,1914571,5.223102198873794e-07,0.0004366513438258492
2022-04-20,NH,306724,355,2472,1,3456,1348124,0.00026332889259444975,0.002563562402271601
2022-04-20,NJ,2235034,2245,33356,7,26916,8878503,0.00025285794238060177,0.0030315921501631524
2022-04-20,NM,520591,189,7434,7,1886,2092454,9.032456627481416e-05,0.0009013340317158704
2022-04-20,NV,716731,183,10684,3,2432,2972382,6.156678381177117e-05,0.0008181990067225545
2022-04-20,NY,5084292,6815,67534,19,80831,19572319,0.00034819583719231226,0.004129863201187351
2022-04-20,OH,2681437,0,38266,0,8636,11655397,0.0,0.0007409443024549056
2022-04-20,OK,1038801,500,14173,0,3500,3932870,0.0001271336199772685,0.0008899353398408795
