submit_date,state,total_cases,new_cases,total_deaths,new_deaths,sum_cases_last_14_days,state_pop,new_cases_percent,cases_last_14_pop_percent
2022-03-16,CT,731128,317,10677,2,4133,3575074,8.866949327482453e-05,0.00115605998645063
2022-03-16,DC,135575,352,1327,1,897,692683,0.0005081689604046872,0.0012949646519403537
2022-03-16,DE,258347,60,2812,1,1278,957248,6.26796817543625e-05,0.0013350772213679214
2022-03-16,FL,5831371,1544,72592,1,18926,20901636,7.386981574073915e-05,0.0009054793605629722
2022-03-16,GA,2480368,1382,36367,73,12445,10403847,0.00013283547903001648,0.001196192139311545
2022-03-16,HI,232845,1001,1356,14,2131,1422094,0.0007038915852257305,0.0014984944736423894
2022-03-16,IA,757334,69,9349,0,2312,3139508,2.1977965974286416e-05,0.000736421120761597
2022-03-16,ID,440783,855,4831,12,11307,1717750,0.0004977441420462815,0.006582447969727841
2022-03-16,IL,3050647,1031,37419,27,15946,12770631,8.073211104447384e-05,0.0012486462101990105
2022-03-16,IN,1687920,329,23229,36,5253,6665703,4.9357134573802645e-05,0.000788063914638861
2022-03-16,KS,769046,226,8088,60,2077,2910652,7.764583330470286e-05,0.0007135858220082648
2022-03-16,KY,1302791,2602,14475,37,10273,4449052,0.0005848436925439397,0.0023090312273266306
2022-03-16,LA,1166866,168,16960,10,3056,4664362,3.601778764169676e-05,0.0006551807085299126
2022-03-16,MA,1684036,812,20012,15,10425,6850553,0.00011853057702057045,0.0015217749574377426
2022-03-16,MD,1007748,376,14282,2,4238,6018848,6.247042623438904e-05,0.0007041214531418637
2022-03-16,ME,232953,0,2167,0,3678,1335492,0.0,0.002754041207285405
2022-03-16,MI,2375430,1048,35353,52,11911,9965265,0.00010516529164051332,0.0011952517068035823
2022-03-16,MN,1423683,868,12512,23,7492,5563378,0.00015602031715263642,0.00134666384344188
2022-03-16,MO,1405420,510,19731,5,7229,6104910,8.353931507589792e-05,0.001184128840556208
2022-03-16,MS,793201,98,12308,20,2585,2984418,3.283722320398818e-05,0.000866165530431729
2022-03-16,MT,271948,73,3228,2,2098,1050649,6.948086373279754e-05,0.001996860987827524
2022-03-16,NC,2613901,1519,23005,39,15947,10264876,0.00014798035553473807,0.001553550184142507
2022-03-16,ND,239339,56,2229,1,985,756717,7.400388784710797e-05,0.0013016755273107384
2022-03-16,NE,477186,78,4046,2,1179,1914571,4.07401971512156e-05,0.0006158037492472204
2022-03-16,NH,300692,142,2428,4,1884,1348124,0.0001053315570377799,0.0013974975595716715
2022-03-16,NJ,2184240,1683,33136,10,14179,8878503,0.00018955898308532418,0.0015970034588038097
2022-03-16,NM,515818,193,7116,13,3268,2092454,9.223619730708536e-05,0.0015618025533655699
2022-03-16,NV,710848,139,9949,16,3752,2972382,4.676384125593548e-05,0.0012622872833976252
2022-03-16,NY,4938784,2135,67164,27,26056,19572319,0.00010908262837939643,0.0013312678993225074
2022-03-16,OH,2663835,0,37410,0,7673,11655397,0.0,0.0006583216341751379
2022-03-16,OK,1029977,1557,13730,0,6619,3932870,0.0003958940926092141,0.0016829948612590805
2022-03-16,OR,700660,299,6933,34,5337,4129803,7.24005479195981e-05,0.001292313459019716
2022-03-16,PA,2771566,788,43962,53,12168,12791530,6.160326403487308e-05,0.0009512544629141314
2022-03-16,PR,476859,445,4153,1,3150,3318447,0.00013409887215314875,0.0009492392073762215
2022-03-16,RI,340884,213,3427,4,2270,1057231,0.00020146968827058608,0.00214711827405742
2022-03-16,SC,1465739,0,17380,0,3207,5020806,0.0,0.0006387420665128268
2022-03-16,SD,236750,35,2870,9,618,870638,4.020040476064679e-05,0.0007098242897737062
2022-03-16,TN,2017149,381,25407,7,7322,6709356,5.6786374131883895e-05,0.0010913118934216637
2022-03-16,TX,6608537,2776,85211,88,50918,28260856,9.822773945700724e-05,0.0018017147109769074
2022-03-16,UT,926149,183,4553,3,2558,3096848,5.9092341632524424e-05,0.0008260011469726638
2022-03-16,VA,1658581,1172,19430,38,13886,8454463,0.0001386250078804532,0.001642446125791786
2022-03-16,VT,106209,242,579,1,1715,624313,0.00038762607858558126,0.0027470195238606275
2022-03-16,WA,1442947,1119,12273,54,16481,7404107,0.00015113233776875456,0.0022259267728032563
2022-03-16,WI,1579385,508,13868,48,5922,5790716,8.772663000568496e-05,0.001022671462389107
2022-03-16,WV,495960,232,6622,24,4918,1817305,0.0001276615647896198,0.0027062050673937505
2022-03-16,WY,155815,0,1769,0,538,581024,0.0,0.0009259514236933414
2022-03-15,AK,236001,0,1168,0,3426,737068,0.0,0.0046481464396772075
2022-03-15,AL,1290172,437,18997,0,5642,4876250,8.961804665470393e-05,0.0011570366572673674
2022-03-15,AR,827336,423,10971,21,6659,2999370,0.00014102961621940608,0.0022201328945745274
2022-03-15,AZ,1987318,0,28090,0,10428,7050299,0.0,0.0014790862061311158
2022-03-15,CA,9031767,727,86792,-2,69310,39283497,1.8506499052261056e-05,0.0017643541256013944
2022-03-15,CO,1327685,1294,11870,10,13007,5610349,0.00023064518802662723,0.0023183940963387483
2022-03-15,CT,730811,305,10675,20,4069,3575074,8.531291939691319e-05,0.0011381582591017696
2022-03-15,DC,135223,0,1326,0,545,692683,0.0,0.0007867956915356664
2022-03-15,DE,258287,61,2811,4,1315,957248,6.372434311693522e-05,0.0013737296917831117
2022-03-15,FL,5829827,1275,72591,5,19704,20901636,6.100000976000156e-05,0.0009427013273028006
2022-03-15,GA,2478986,1249,36294,47,12461,10403847,0.0001200517462434809,0.0011977300319775945
2022-03-15,HI,231844,0,1342,0,1269,1422094,0.0,0.0008923460755758761
2022-03-15,IA,757265,248,9349,87,2754,3139508,7.899326900902944e-05,0.0008772075114954318
2022-03-15,ID,439928,825,4819,0,12190,1717750,0.00048027943530781547,0.0070964925047300245
2022-03-15,IL,3049616,1574,37392,47,16555,12770631,0.00012325154489233931,0.0012963337520283844
2022-03-15,IN,1687591,323,23193,15,5369,6665703,4.845700445999469e-05,0.0008054664301724814
2022-03-15,KS,768820,0,8028,0,2775,2910652,0.0,0.0009533946346042055
2022-03-15,KY,1300189,489,14438,0,8689,4449052,0.00010991105520906476,0.001953000324563525
2022-03-15,LA,1166698,211,16950,37,4161,4664362,4.523662614522629e-05,0.0008920834189113109
2022-03-15,MA,1683224,531,19997,16,10630,6850553,7.75119906378361e-05,0.001551699548926926
2022-03-15,MD,1007372,332,14280,9,4333,6018848,5.516005720696054e-05,0.0007199052044510843
2022-03-15,ME,232953,307,2167,20,4712,1335492,0.00022987782779679698,0.003528287702210122
2022-03-15,MI,2374382,1046,35301,91,12413,9965265,0.00010496459451906196,0.0012456266842878739
2022-03-15,MN,1422815,471,12489,9,7163,5563378,8.466079421531307e-05,0.0012875271103275744
2022-03-15,MO,1404910,587,19726,363,7428,6104910,9.61521136265727e-05,0.0012167255536936663
2022-03-15,MS,793103,153,12288,13,2935,2984418,5.126627704296114e-05,0.0009834413275888298
2022-03-15,MT,271875,101,3226,3,2894,1050649,9.613105804126783e-05,0.002754487940311179
2022-03-15,NC,2612382,649,22966,5,15935,10264876,6.322531319423635e-05,0.0015523811490757414
2022-03-15,ND,239283,53,2228,2,1076,756717,7.00393938552986e-05,0.0014219318450622888
2022-03-15,NE,477108,156,4044,10,1221,1914571,8.14803943024312e-05,0.0006377407784824903
2022-03-15,NH,300550,39,2424,7,1924,1348124,2.892908960896772e-05,0.0014271684207090743
2022-03-15,NJ,2182557,729,33126,12,13926,8878503,8.210843652358962e-05,0.0015685076639609177
2022-03-15,NM,515625,94,7103,25,3505,2092454,4.492332925837318e-05,0.0016750666920276383
2022-03-15,NV,710709,0,9933,0,4023,2972382,0.0,0.0013534599523210677
2022-03-15,NY,4936649,2247,67137,40,26225,19572319,0.000114804995769791,0.001339902542974085
2022-03-15,OH,2663835,0,37410,0,8844,11655397,0.0,0.000758790112426029
2022-03-15,OK,1028420,0,13730,0,5651,3932870,0.0,0.0014368641729830887
2022-03-15,OR,700361,401,6899,14,5712,4129803,9.709906259451117e-05,0.0013831168217951317
2022-03-15,PA,2770778,943,43909,64,12632,12791530,7.372065734122501e-05,0.0009875284661021787
2022-03-15,PR,476414,312,4152,2,2891,3318447,9.401988339726384e-05,0.0008711906503252877
2022-03-15,RI,340671,208,3423,1,2309,1057231,0.00019674035286517327,0.00218400709021964
2022-03-15,SC,1465739,0,17380,0,3623,5020806,0.0,0.0007215972893595172
2022-03-15,SD,236715,67,2861,2,659,870638,7.695506054180957e-05,0.000756916192493321
2022-03-15,TN,2016768,358,25400,145,8628,6709356,5.335832529977542e-05,0.0012859654488448667
2022-03-15,TX,6605761,3024,85123,74,51726,28260856,0.0001070031282845785,0.0018303054939312524
2022-03-15,UT,925966,94,4550,5,2836,3096848,3.0353443242936043e-05,0.0009157698408187938
2022-03-15,VA,1657409,1220,19392,34,14357,8454463,0.0001443024826059325,0.0016981563465355517
2022-03-15,VT,105967,71,578,0,1713,624313,0.00011372500652717467,0.002743816002550003
2022-03-15,WA,1441828,1226,12219,0,17223,7404107,0.00016558377667961848,0.0023261414239421447
2022-03-15,WI,1578877,515,13820,52,6195,5790716,8.893546152151133e-05,0.0010698158915063353
2022-03-15,WV,495728,189,6598,39,5184,1817305,0.00010400015407430233,0.0028525756546094352
2022-03-15,WY,155815,71,1769,20,631,581024,0.00012219805033871235,0.001086013658644049
2022-03-14,AK,236001,496,1168,0,3426,737068,0.0006729365540221527,0.0046481464396772075
2022-03-14,AL,1289735,198,18997,1,6484,4876250,4.060497308382466e-05,0.00132971033068444
2022-03-14,AR,826913,343,10950,28,6929,2999370,0.0001143573483764924,0.002310151798544361
2022-03-14,AZ,1987318,0,28090,0,10428,7050299,0.0,0.0014790862061311158
2022-03-14,CA,9031040,11628,86794,407,70043,39283497,0.00029600216090741615,0.0017830133605467966
2022-03-14,CO,1326391,1328,11860,21,12612,5610349,0.00023670541707833148,0.0022479884941204193
2022-03-14,CT,730506,809,10655,7,3934,3575074,0.00022628902226918938,0.001100396802975267
2022-03-14,DC,135223,0,1326,0,659,692683,0.0,0.0009513731389394572
2022-03-14,DE,258226,41,2807,0,1289,957248,4.2831115865481045e-05,0.0013465684963562211
2022-03-14,FL,5828552,1202,72586,10,20184,20901636,5.750746018158579e-05,0.0009656660368595071
2022-03-14,GA,2477737,1221,36247,54,12681,10403847,0.00011736043407789445,0.0012188760561357736
2022-03-14,HI,231844,0,1342,0,1386,1422094,0.0,0.0009746191180048576
2022-03-14,IA,757017,239,9262,0,2944,3139508,7.612657779499208e-05,0.0009377265482362205
2022-03-14,ID,439103,1172,4819,0,12939,1717750,0.0006822878765827391,0.007532528016300393
2022-03-14,IL,3048042,2324,37345,35,16822,12770631,0.00018198004468220874,0.001317241097953578
2022-03-14,IN,1687268,597,23178,14,5583,6665703,8.956294632389112e-05,0.0008375710708982984
2022-03-14,KS,768820,95,8028,22,2775,2910652,3.263873523870253e-05,0.0009533946346042055
2022-03-14,KY,1299555,161,14438,0,9389,4449052,3.6187484434886354e-05,0.002110337213410857
2022-03-14,LA,1166487,485,16913,26,3950,4664362,0.00010397992265608888,0.0008468467927660846
2022-03-14,MA,1682693,2020,19981,9,11401,6850553,0.0002948667063812221,0.0016642452076496598
2022-03-14,MD,1007040,404,14271,10,4406,6018848,6.712247925184354e-05,0.0007320337712465907
2022-03-14,ME,232646,353,2147,2,5314,1335492,0.0002643220625806819,0.003979057905251398
2022-03-14,MI,2373336,1548,35210,22,12937,9965265,0.00015533957200335364,0.0012982093301081305
2022-03-14,MN,1422344,475,12480,16,8768,5563378,8.537978185196117e-05,0.001576020899532622
2022-03-14,MO,1404323,1055,19363,8,7578,6104910,0.00017281172040210256,0.001241295940480695
2022-03-14,MS,792950,390,12275,20,3010,2984418,0.00013067874540362645,0.0010085718555510655
2022-03-14,MT,271774,133,3223,0,3445,1050649,0.00012658842296523387,0.0032789256925957193
2022-03-14,NC,2611733,3130,22961,39,16469,10264876,0.00030492331324801197,0.001604403209546808
2022-03-14,ND,239230,14,2226,0,1177,756717,1.8500971961776992e-05,0.001555403142786537
2022-03-14,NE,476952,108,4034,8,1262,1914571,5.6409503747836984e-05,0.0006591554974978729
2022-03-14,NH,300511,326,2417,2,2149,1348124,0.00024181751826983275,0.001594067014606965
2022-03-14,NJ,2181828,430,33114,8,14313,8878503,4.8431588072899226e-05,0.0016120960932265271
2022-03-14,NM,515531,367,7078,28,4097,2092454,0.00017539214721088253,0.001957988084803776
2022-03-14,NV,710709,0,9933,11,4288,2972382,0.0,0.0014426140381687145
2022-03-14,NY,4934402,2127,67097,29,25268,19572319,0.00010867388785151111,0.0012910069573258028
2022-03-14,OH,2663835,0,37410,0,9895,11655397,0.0,0.0008489629310781949
2022-03-14,OK,1028420,757,13730,217,6571,3932870,0.00019248030064558452,0.0016707900337412627
2022-03-14,OR,699960,598,6885,16,6031,4129803,0.0001448010958391962,0.0014603602157294187
2022-03-14,PA,2769835,247,43845,6,12799,12791530,1.9309652559154378e-05,0.0010005839801806352
2022-03-14,PR,476102,39,4150,0,2579,3318447,1.175248542465798e-05,0.0007771707669280239
2022-03-14,RI,340463,390,3422,1,2287,1057231,0.0003688881616221999,0.0021631980144358235
2022-03-14,SC,1465739,129,17380,2,3921,5020806,2.5693085930824654e-05,0.0007809503095718098
2022-03-14,SD,236648,46,2859,6,766,870638,5.28348176854215e-05,0.0008798145727615841
2022-03-14,TN,2016410,178,25255,6,10161,6709356,2.653011704849169e-05,0.0015144523557849665
2022-03-14,TX,6602737,859,85049,10,53531,28260856,3.0395399205176233e-05,0.0018941747553577288
2022-03-14,UT,925872,353,4545,6,3020,3096848,0.00011398686664634493,0.0009751850914219878
2022-03-14,VA,1656189,2048,19358,100,14736,8454463,0.00024223892162045064,0.0017429847407221487
2022-03-14,VT,105896,421,578,0,1736,624313,0.0006743412358864864,0.0027806564976221864
2022-03-14,WA,1440602,303,12219,36,17435,7404107,4.092323355132496e-05,0.0023547741814103984
2022-03-14,WI,1578362,703,13768,55,6365,5790716,0.00012140122223227663,0.0010991732283192614
2022-03-14,WV,495539,664,6559,9,5428,1817305,0.00036537620267373944,0.002986840403784725
2022-03-14,WY,155744,0,1749,0,643,581024,0.0,0.001106666850250592
2022-03-13,AK,235505,0,1168,0,3727,737068,0.0,0.005056521243630167
2022-03-13,AL,1289537,51,18996,0,7090,4876250,1.0458856703409382e-05,0.0014539861573955395
2022-03-13,AR,826570,369,10922,30,7144,2999370,0.00012302583542543935,0.0023818335183721914
2022-03-13,AZ,1987318,0,28090,0,10428,7050299,0.0,0.0014790862061311158
2022-03-13,CA,9019412,0,86387,0,77907,39283497,0.0,0.001983199204490374
2022-03-13,CO,1325063,0,11839,0,14002,5610349,0.0,0.0024957449171165644
2022-03-13,CT,729697,0,10648,0,4137,3575074,0.0,0.001157178844409934
2022-03-13,DC,135223,0,1326,0,897,692683,0.0,0.0012949646519403537
2022-03-13,DE,258185,69,2807,0,1318,957248,7.208163401751688e-05,0.0013768636758708297
2022-03-13,FL,5827350,672,72576,7,21120,20901636,3.2150593379389057e-05,0.0010104472204950847
2022-03-13,GA,2476516,0,36193,0,13853,10403847,0.0,0.0013315266939238918
2022-03-13,HI,231844,0,1342,0,1747,1422094,0.0,0.001228470129260091
2022-03-13,IA,756778,0,9262,0,3407,3139508,0.0,0.0010852018851361424
2022-03-13,ID,437931,0,4819,0,14293,1717750,0.0,0.008320768447096493
2022-03-13,IL,3045718,0,37310,0,18981,12770631,0.0,0.0014863008726820155
2022-03-13,IN,1686671,0,23164,0,6340,6665703,0.0,0.0009511374869237349
2022-03-13,KS,768725,0,8006,0,3159,2910652,0.0,0.0010853238380953822
2022-03-13,KY,1299394,197,14438,0,9833,4449052,4.427909586132057e-05,0.002210133754336879
2022-03-13,LA,1166002,0,16887,0,3465,4664362,0.0,0.0007428668701099958
2022-03-13,MA,1680673,0,23751,0,11079,6850553,0.0,0.0016172417029690887
2022-03-13,MD,1006636,204,14261,12,4746,6018848,3.389352912716852e-05,0.0007885229864585383
2022-03-13,ME,232293,0,2145,0,5150,1335492,0.0,0.0038562567203697215
2022-03-13,MI,2371788,0,35188,0,13833,9965265,0.0,0.0013881216405183404
2022-03-13,MN,1421869,0,12464,0,9372,5563378,0.0,0.0016845880326664842
2022-03-13,MO,1403268,0,19355,0,8141,6104910,0.0,0.001333516792221343
2022-03-13,MS,792560,0,12255,0,3504,2984418,0.0,0.0011740982663956592
2022-03-13,MT,271641,0,3223,0,4094,1050649,0.0,0.0038966391249599056
2022-03-13,NC,2608603,0,22922,0,14032,10264876,0.0,0.001366991671404506
2022-03-13,ND,239216,27,2226,0,1187,756717,3.56804459262842e-05,0.001568618122759235
2022-03-13,NE,476844,0,4026,0,1423,1914571,0.0,0.000743247442899741
2022-03-13,NH,300185,0,2415,0,2456,1348124,0.0,0.0018217908738365313
2022-03-13,NJ,2181398,468,33106,4,14640,8878503,5.271158887934149e-05,0.0016489266264819644
2022-03-13,NM,515164,0,7050,0,4381,2092454,0.0,0.002093713888095031
2022-03-13,NV,688054,0,9922,0,6667,2972382,0.0,0.0022429822277217396
2022-03-13,NY,4932275,2977,67068,24,24475,19572319,0.000152102568939327,0.0012504905524991698
2022-03-13,OH,2663835,317,37410,0,10624,11655397,2.7197700773298413e-05,0.000911509063140449
2022-03-13,OK,1027663,0,13513,0,7296,3932870,0.0,0.0018551337827083022
2022-03-13,OR,699362,0,6869,0,7101,4129803,0.0,0.0017194524775152713
2022-03-13,PA,2769588,447,43839,5,13148,12791530,3.494499876089882e-05,0.001027867659302679
2022-03-13,PR,476063,295,4150,0,2725,3318447,8.889700513523344e-05,0.0008211672508254615
